review,sentiment
"b""Don't hate Heather Graham because she's beautiful, hate her because she's fun to watch in this movie. Like the hip clothing and funky surroundings, the actors in this flick work well together. Casey Affleck is hysterical and Heather Graham literally lights up the screen. The minor characters - Goran Visnjic {sigh} and Patricia Velazquez are as TALENTED as they are gorgeous. Congratulations Miramax & Director Lisa Krueger!""",1
"b'I don\'t know how this movie has received so many positive comments. One can call it ""artistic"" and ""beautifully filmed"", but those things don\'t make up for the empty plot that was filled with sexual innuendos. I wish I had not wasted my time to watch this movie. Rather than being biographical, it was a poor excuse for promoting strange and lewd behavior. It was just another Hollywood attempt to convince us that that kind of life is normal and OK. From the very beginning I asked my self what was the point of this movie,and I continued watching, hoping that it would change and was quite disappointed that it continued in the same vein. I am so glad I did not spend the money to see this in a theater!'",0
"b""I caught this movie on the Horror Channel and was quite impressed by the film's Gothic atmosphere and tone. As a big fan of all things vampire related, I am always happy to see a new variation of the vampire mythos, in this case, a ghoul-like creature residing in a Lovecraftian other dimension. The director has done a brilliant job of conveying the dark mood of the subject, using the decadent art scene as a backdrop to what is essentially a tale of love spanning time and space- the pure love of friendship opposed to the lust for blood and life by the vampires in the story. The characters in the story are transported to another dimension by the means of a mind-altering substance, where a shape-shifting vampire creature appears to grant them their hearts desires, whilst draining them of their life essence. There are some analogies to drug addiction and loss of control, and how this affects a group of friends in an artistic circle. I enjoyed watching the 2 main male characters in the story, Chris Ivan Cevic and Alex Petrovich, who were very attractive hunks, always a plus point in a vampire story for the female viewers! The special effects make up and creature effects were well done, and the set design of the vampire's dimension was very effective. All in all, an enjoyable take on vampire myths, and recommended for anyone who likes their vampires with some intelligence and not just action. The only thing missing to make it even better would have been a bit more eroticism and nudity, as it would have suited the plot and themes.""",1
"b'NBC had a chance to make a powerful religious epic along the lines of ""The Ten Commandments"" and ""The Greatest Story Ever Told,"" and instead they chose to make some halfhearted cartoon that was more like ""Waterworld"" than anything else. I don\'t recall a Bible passage where Lot turns into a pirate and attacks the ark, nor do I remember one where Noah\'s son develops a serious friendship with an orange, nor do I remember Noah being some crazy old loon who suddenly acts like he\'s commanding a naval fleet and runs around shouting nautical terms like ""hoist the mainstay!"" This was possibly the worst marketing decision in history. Obviously the majority of people watching this were going to be Jewish and Christian parents with their kids, so why on earth make the movie so offensive to those people? If they were intentionally trying to offend, why not advertise it that way and at least reel in the right audience?? I hope they make a REAL Noah movie someday, one done seriously and thoughtfully, one that actually appeals to people and makes money. Until then, don\'t waste your time with this trash.'",0
"b""Looking for something shocking? Okay fine... the imagery is that. That's about it. This film attempts to make deep connections with the audience through various symbolism and just ends up being annoying. I am not quite sure if the director's purpose was to truly portray some sort of deep message to his audience, or if he just sought to shock the hell out of them with gore, sex and violence. I am thinking that it was probably the first...but in the failed attempt..it simply ended up to be a piece of artsy garbage with lots of blood, some obnoxious characters, and an over reliance on religious symbolism. If you're looking for some independent film to critique for its attempted use of metaphor...have at it. If you are looking for a gore flick that will make you queasy and uncomfortable... here you go... If you are looking for a film that will irritate you to no end because you realize that in the end, the message was stupid...the movie was stupid... and you will never get those minutes of your life back..this is surely the film for you!""",0
"b'""Are You in the House Alone?"" belongs to the pre-cable TV days when the networks were eager to offer an alternative to popular TV shows. It is well-made thriller with a talented cast and credible situations. Kathleen Beller plays a High School student who gets a series of threatening letters. Everyone seems to think that it is nothing more than a prank but Beller is really scared. Tony Bill and Blythe Danner play Beller\'s parents, Ellen Travolta (John\'s sister) is the High School Principal and Dennis Quaid has one of his earliest roles as a cocky rich kid. It\'s a competent chiller with a still relevant social message. Beller is lovely - if you are 30 or older, you will remember that she was very popular among youngsters. Blythe Danner, who I usually don\'t like, gives a truly moving performance. Nice little film.'",1
"b""I think this is one hell of a movie...........We can see Steven fighting around with his martial art stuff again and like in all Segal movies there's a message in it, without the message it would be one of many action/fighting movies but the message is what makes segal movies great and special.""",1
"b'I watched this movie a couple of weeks ago and must say: I was not impressed, not at all. I do side with the other posters when it comes to the fine performances, but some good performances do not make a good movie.<br /><br />On the discussion board, I found a review by an anonymous poster that captured some of the main points. It says: ""\'Deed Poll\' is a movie that raises many questions but hardly answers even a few; a movie that is disturbing and above every attempt at categorizing; an experiment and a very conventional sexual drama despite some shocking scenes. The brilliant acting of Barbara Kowa and Andr\xc3\xa9 Schneider, the partly very impressive editing and the good camera work (Steffen Ritter) make up for gross plot holes and some technical slips (especially in sound). However, the boredom the audiences have to deal with for 40 minutes remains."" Unfortunately, this is true. I wasn\'t intrigued by the story at all. The protagonists are cold, ambition-less people. They do a lot of drugs and have a lot of (incestuous) sex. So what? For many times, the direction seemed to be virtually non-existent, not to mention the technical aspect: the poor sound quality was enormously disturbing.<br /><br />What\'s the point of the movie? What\'s the message behind it all? The anonymous reviewer said: ""Somehow Biermann failed to make a clear point and so the movie remains hanging in mid-air without a message. Thus the boredom I blame on the movie. The movie is reserved and emotionless, cold, almost neutral and it doesn\'t take long to see the flaws: for long stretches the characters of Sean and Ivy are not credible (they clearly have difficulties with the English pronunciation), the character of the mute brother is not developed very well. Some moments are very promising though - in the scene where the call boy is skinned (the one and only true love scene) an intensity is reached that one would love to see the whole movie long. As a spectator one has to regret the chances given away."" Again, I must agree. I did like the final scene, especially because of the beautifully captured faces of Gianni Meurer and Andr\xc3\xa9 Schneider, but it was nothing compared to the boredom I had to suffer for the first thirty minutes. (The sex scenes, though, were aesthetically staged and perfectly edited.)<br /><br />All in all, ""Deed Poll"" was not my cup of tea - a good, controversial idea wasted -, but it was a interesting to see how a movie can be made with practically no money. Maybe if they had a bigger budget and a more experienced director, this would have become a better movie.'",0
"b'Ocean\'s Twelve: just plain stupid, bad and nothing compared to the other two.<br /><br />An art robbery. 10 known actors, at least. A weak script and very slow developing idea. That\'s why I characterize a movie I only saw at least 20 minutes of it. Don\'t get me wrong, you may like it. But I only like the Ocean\'s films because of the Heist theme. If Ocean\'s 12 it\'s not about Heist then what\'s the point to see it? Glad Soderberg saw his main error and redeemed himself by making a film far superior to the first one. Kudos for that.<br /><br />Steven Soderberg isn\'t really a good director. Apart from his hit ""Sex lies and videotapes""... nothing else happened so much great to the career of this director. Shame on him. But his fault only.'",0
"b""This excellent movie starring Elizabeth Montgomery is long overdue for release in DVD form. The same can be said for her earlier, also excellent movie, A Case of Rape. I can only hope that my comments spur some enterprising soul into placing BOTH Elizabeth Montgomery movies on one DVD to be made available to her many fans. I for one believe this excellent actress's role was unfortunately stereotyped by her role on Bewitched and, as a result, more serious acting roles were not made available to her. I am confident that if these two movies, perhaps even a trilogy with The Legend of Lizzie Borden, were released in DVD form, her fans would set the record straight on how highly they regard her serious acting abilities.""",1
